,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?,clust
0,21110,0,1,1,1,3402,12,0,0,4516,0,Ocassional Flyers
1,105898,0,1,1,1,4444,5,1944,4,2332,0,Ocassional Flyers
2,292533,0,5,1,1,64186,15,1000,2,6095,1,Ocassional Flyers
3,140918,0,4,1,1,69760,32,0,0,3883,1,Ocassional Flyers
4,27381,0,3,1,1,18009,18,0,0,7524,1,Ocassional Flyers
5,88443,0,1,1,1,1200,3,1200,3,6837,0,Ocassional Flyers
6,17539,0,1,1,1,500,3,400,2,628,0,Ocassional Flyers
7,17376,0,1,1,1,4920,11,0,0,2265,0,Ocassional Flyers
8,114932,8559,1,1,1,3150,13,1650,12,6092,1,Ocassional Flyers
9,192889,0,1,1,1,10500,5,0,0,4096,0,Ocassional Flyers
10,48944,2565,3,1,1,17988,12,0,0,1005,0,Ocassional Flyers
11,253349,0,5,1,1,68947,18,1000,2,4545,1,Ocassional Flyers
12,17051,0,1,1,1,1150,4,1150,4,6868,0,Ocassional Flyers
13,2344,0,1,1,1,1478,10,0,0,4481,0,Ocassional Flyers
14,11500,0,1,1,1,0,0,0,0,1695,0,Ocassional Flyers
15,139882,0,4,1,1,47089,15,0,0,4859,0,Ocassional Flyers
16,53750,0,3,1,1,23135,14,0,0,3736,0,Ocassional Flyers
17,49053,0,1,1,1,6498,18,950,5,8289,0,Ocassional Flyers
18,10954,500,1,1,1,2500,1,0,0,8095,1,Ocassional Flyers
19,68243,0,2,1,1,10012,22,903,3,3888,0,Ocassional Flyers
20,54337,0,1,1,1,2131,9,230,1,5976,0,Ocassional Flyers
21,289351,0,5,1,1,147787,35,500,1,5789,1,Ocassional Flyers
22,18959,0,1,1,1,0,0,0,0,2115,0,Ocassional Flyers
23,70877,0,2,1,1,8956,15,0,0,5696,0,Ocassional Flyers
24,53985,0,1,1,1,1000,1,0,0,7029,1,Ocassional Flyers
25,320997,2556,5,1,1,82255,24,0,0,5345,1,Ocassional Flyers
26,115161,0,1,1,1,9050,18,3050,15,2417,0,Ocassional Flyers
27,131621,0,2,1,1,27846,31,6047,11,6045,1,Ocassional Flyers
28,23054,0,1,1,1,400,3,300,2,2553,0,Ocassional Flyers
29,4780,0,1,1,1,0,0,0,0,4733,0,Ocassional Flyers
30,18369,0,1,1,1,800,4,700,3,2327,0,Ocassional Flyers
31,114949,0,5,1,1,87136,24,600,2,4294,1,Ocassional Flyers
32,31236,0,1,1,1,2250,13,0,0,4523,0,Ocassional Flyers
33,18177,0,3,1,1,12040,12,0,0,6690,1,Ocassional Flyers
34,704113,0,5,1,1,98119,23,0,0,3082,1,Ocassional Flyers
35,60085,0,3,1,1,14714,17,0,0,2404,1,Ocassional Flyers
36,77753,0,3,1,1,12483,13,0,0,2377,0,Ocassional Flyers
37,5112,0,1,1,1,0,0,0,0,4020,0,Ocassional Flyers
38,40675,0,1,1,1,1413,9,0,0,2895,0,Ocassional Flyers
39,179251,0,3,1,1,14775,16,200,2,5629,1,Ocassional Flyers
40,385195,0,1,1,1,0,0,0,0,4903,0,Ocassional Flyers
41,47457,0,3,1,1,12621,16,0,0,7766,1,Ocassional Flyers
42,45522,0,3,1,1,10728,13,0,0,3197,0,Ocassional Flyers
43,220081,0,4,1,1,52574,21,500,1,7626,0,Ocassional Flyers
44,92533,0,1,1,1,2220,4,2220,4,1905,0,Ocassional Flyers
45,16501,0,1,1,1,0,0,0,0,360,0,Ocassional Flyers
46,49454,0,2,1,1,9548,22,250,1,6501,0,Ocassional Flyers
47,12078,0,1,1,1,500,1,500,1,983,0,Ocassional Flyers
48,32742,0,5,1,1,61857,26,0,0,7488,1,Ocassional Flyers
49,9396,0,1,1,1,860,5,350,2,3588,1,Ocassional Flyers
50,47780,0,5,1,1,88773,20,250,2,6329,1,Ocassional Flyers
51,130920,2643,4,1,1,30299,20,1100,6,4793,1,Ocassional Flyers
52,43229,0,1,1,1,5000,1,0,0,2644,0,Ocassional Flyers
53,2912,0,1,1,1,510,1,0,0,2132,0,Ocassional Flyers
54,17964,0,1,1,1,5030,23,0,0,3783,1,Ocassional Flyers
55,59162,0,1,1,1,2520,7,0,0,4726,0,Ocassional Flyers
56,10000,0,1,1,1,3375,19,0,0,1418,0,Ocassional Flyers
57,23854,0,3,1,1,22498,18,250,3,4274,1,Ocassional Flyers
58,61286,0,1,1,1,1500,5,0,0,4755,0,Ocassional Flyers
59,41370,0,5,1,1,51335,9,0,0,4842,1,Ocassional Flyers
60,17060,0,1,1,1,0,0,0,0,1836,0,Ocassional Flyers
61,4923,0,1,1,1,305,2,0,0,2985,0,Ocassional Flyers
62,53384,0,3,1,1,16907,12,0,0,5778,0,Ocassional Flyers
63,297127,0,3,1,1,27415,16,0,0,4631,1,Ocassional Flyers
64,21875,7558,3,1,1,12398,15,0,0,3299,1,Ocassional Flyers
65,65466,0,2,1,1,5488,13,0,0,6280,0,Ocassional Flyers
66,82528,0,1,1,1,2100,5,600,4,8228,1,Ocassional Flyers
67,86853,0,4,1,1,42293,21,500,1,6980,0,Ocassional Flyers
68,35026,0,1,1,1,9799,27,500,1,6247,0,Ocassional Flyers
69,60230,0,1,1,1,500,1,0,0,7544,1,Ocassional Flyers
70,145750,0,2,1,1,10986,12,0,0,2531,0,Ocassional Flyers
71,223670,0,1,1,1,32709,13,2227,4,4230,1,Ocassional Flyers
72,76513,0,4,1,1,45265,16,0,0,3235,1,Ocassional Flyers
73,24563,0,1,1,1,5718,8,4218,5,1776,0,Ocassional Flyers
74,25004,0,1,1,1,1113,3,0,0,4860,1,Ocassional Flyers
75,38884,0,1,1,1,2850,13,500,1,5729,0,Ocassional Flyers
76,444159,0,1,1,1,0,0,0,0,5993,0,Ocassional Flyers
77,45432,0,3,1,1,12833,15,0,0,1322,0,Ocassional Flyers
78,30686,0,1,1,1,6161,2,0,0,3596,0,Ocassional Flyers
79,28731,0,4,1,1,29782,11,0,0,2182,1,Ocassional Flyers
80,11181,0,1,1,1,929,12,0,0,1407,0,Ocassional Flyers
81,26256,0,1,1,1,2000,9,0,0,2847,0,Ocassional Flyers
82,54392,0,1,1,1,0,0,0,0,5807,0,Ocassional Flyers
83,8232,0,1,1,1,0,0,0,0,258,0,Ocassional Flyers
84,59797,0,1,1,1,7069,4,0,0,7444,0,Ocassional Flyers
85,39759,0,1,1,1,100,1,100,1,3278,1,Ocassional Flyers
86,87633,0,4,1,1,69237,37,4050,9,2068,1,Ocassional Flyers
87,85036,0,4,1,1,43825,21,0,0,5807,1,Ocassional Flyers
88,108341,0,3,1,1,19670,21,0,0,7488,0,Ocassional Flyers
89,13873,0,1,1,1,4833,20,0,0,6519,0,Ocassional Flyers
90,190542,1745,1,1,1,8487,9,0,0,7267,0,Ocassional Flyers
91,110839,0,1,1,1,17550,24,7550,23,2272,1,Ocassional Flyers
92,78317,0,3,1,1,34282,35,2537,11,1859,1,Ocassional Flyers
93,76552,0,5,1,1,150010,36,0,0,3894,1,Ocassional Flyers
94,49737,0,5,1,1,60922,22,550,2,4946,1,Ocassional Flyers
95,40189,0,1,1,1,0,0,0,0,5952,1,Ocassional Flyers
96,43285,0,1,1,1,745,3,0,0,2436,1,Ocassional Flyers
97,124837,0,1,1,1,4400,7,1500,5,2053,1,Ocassional Flyers
98,22529,0,1,1,1,5115,20,3400,16,4865,0,Ocassional Flyers
99,36079,0,3,1,1,22506,22,150,1,5323,0,Ocassional Flyers
100,169546,0,5,1,1,68315,24,600,2,1761,0,Ocassional Flyers
101,5580,0,1,1,1,60,2,0,0,4533,0,Ocassional Flyers
102,46734,0,2,1,1,10007,18,0,0,5080,0,Ocassional Flyers
103,2278,0,1,1,1,0,0,0,0,5175,0,Ocassional Flyers
104,41133,0,1,1,1,635,3,0,0,4419,1,Ocassional Flyers
105,36311,0,1,1,1,100,1,100,1,1766,1,Ocassional Flyers
106,149305,0,4,1,1,49893,19,0,0,4030,0,Ocassional Flyers
107,151301,0,4,1,1,37772,14,0,0,7092,0,Ocassional Flyers
108,198317,0,5,1,1,61714,16,0,0,8289,1,Ocassional Flyers
109,102570,0,5,1,1,70503,20,0,0,4524,1,Ocassional Flyers
110,64969,0,1,1,1,1135,13,0,0,4996,0,Ocassional Flyers
111,16200,0,1,1,1,5375,28,0,0,1407,0,Ocassional Flyers
112,52980,0,3,1,1,17078,14,0,0,8237,0,Ocassional Flyers
113,30034,0,1,1,1,15816,6,0,0,2908,0,Ocassional Flyers
114,4150,0,1,1,1,375,3,0,0,1424,0,Ocassional Flyers
115,54005,0,1,1,1,1500,5,0,0,7099,0,Ocassional Flyers
116,40835,0,4,1,1,50602,39,2250,10,4090,1,Ocassional Flyers
117,4342,0,1,1,1,0,0,0,0,1678,0,Ocassional Flyers
118,66681,0,1,1,1,4478,16,3504,12,2465,0,Ocassional Flyers
119,22455,0,4,1,1,38814,17,0,0,4175,1,Ocassional Flyers
120,570,0,1,1,1,180,4,0,0,785,0,Ocassional Flyers
121,16583,0,1,1,1,2625,7,0,0,7682,1,Ocassional Flyers
122,108950,0,1,1,1,3300,9,3300,9,5259,1,Ocassional Flyers
123,18272,0,1,1,1,2920,5,0,0,3405,0,Ocassional Flyers
124,78712,0,1,1,1,0,0,0,0,6433,0,Ocassional Flyers
125,9500,0,1,1,1,3125,18,0,0,1415,0,Ocassional Flyers
126,2075,0,2,1,1,5002,14,0,0,7374,1,Ocassional Flyers
127,41526,0,1,1,1,0,0,0,0,6406,0,Ocassional Flyers
128,76933,0,4,1,1,28075,17,0,0,6646,0,Ocassional Flyers
129,79333,0,1,1,1,1500,3,1500,3,2977,0,Ocassional Flyers
130,161813,0,5,1,1,126941,20,0,0,7026,1,Ocassional Flyers
131,155962,1199,3,1,1,16510,16,50,1,6406,1,Ocassional Flyers
132,46823,0,1,1,1,5860,12,0,0,7613,0,Ocassional Flyers
133,68359,0,3,1,1,15803,17,0,0,1293,0,Ocassional Flyers
134,194604,0,2,1,1,6606,10,0,0,6190,0,Ocassional Flyers
135,378759,0,1,1,1,28904,9,2303,4,5408,1,Ocassional Flyers
136,3507,1745,1,1,1,14500,7,0,0,5643,1,Ocassional Flyers
137,212051,0,5,1,1,76256,23,2993,6,5523,0,Ocassional Flyers
138,119977,2556,1,1,1,9275,16,1400,4,7226,1,Ocassional Flyers
139,34862,0,1,1,1,2725,5,0,0,3004,0,Ocassional Flyers
140,2793,0,1,1,1,8000,3,0,0,4588,1,Ocassional Flyers
141,28010,0,1,1,1,150,3,0,0,2115,0,Ocassional Flyers
142,107707,0,3,1,1,19407,25,2211,12,7024,0,Ocassional Flyers
143,129919,719,1,1,1,7150,5,650,2,3053,1,Ocassional Flyers
144,99704,2704,2,1,1,15750,12,0,0,4106,0,Ocassional Flyers
145,58970,0,3,1,1,13467,18,0,0,3946,1,Ocassional Flyers
146,80154,0,4,1,1,47270,14,0,0,4352,0,Ocassional Flyers
147,17386,0,1,1,1,0,0,0,0,3771,0,Ocassional Flyers
148,63190,0,3,1,1,18950,13,250,1,3041,0,Ocassional Flyers
149,354641,0,5,1,1,77694,29,3600,9,5710,1,Ocassional Flyers
150,2500,0,1,1,1,2500,1,0,0,3717,0,Ocassional Flyers
151,11690,0,3,1,1,17615,17,0,0,4417,1,Ocassional Flyers
152,8885,0,1,1,1,1500,5,0,0,1386,0,Ocassional Flyers
153,12120,0,1,1,1,1000,1,0,0,1802,0,Ocassional Flyers
154,27348,0,1,1,1,3084,4,0,0,5824,0,Ocassional Flyers
155,257068,2586,1,1,1,5900,4,400,1,6420,1,Ocassional Flyers
156,10512,0,1,1,1,0,0,0,0,836,0,Ocassional Flyers
157,234308,0,3,1,1,21078,15,200,1,6007,0,Ocassional Flyers
158,4751,0,1,1,1,0,0,0,0,334,0,Ocassional Flyers
159,38042,0,1,1,1,7658,17,0,0,2606,0,Ocassional Flyers
160,14336,0,1,1,1,0,0,0,0,3349,0,Ocassional Flyers
161,43603,0,1,1,1,17100,4,100,1,5335,1,Ocassional Flyers
162,25168,0,1,1,1,500,1,500,1,5547,0,Ocassional Flyers
163,129866,0,5,1,1,66150,30,0,0,5692,0,Ocassional Flyers
164,242910,1115,5,1,1,103935,18,500,1,6296,1,Ocassional Flyers
165,22998,0,1,1,1,0,0,0,0,1644,0,Ocassional Flyers
166,32522,0,1,1,1,5971,4,471,2,4042,0,Ocassional Flyers
167,96610,0,5,1,1,66298,22,0,0,4362,0,Ocassional Flyers
168,15279,0,3,1,1,17984,19,300,1,3139,1,Ocassional Flyers
169,138020,0,3,1,1,16449,17,500,1,3637,1,Ocassional Flyers
170,28223,0,2,1,1,8625,12,0,0,5651,0,Ocassional Flyers
171,27712,0,1,1,1,750,2,750,2,3491,0,Ocassional Flyers
172,189053,0,3,1,1,24156,22,0,0,7439,1,Ocassional Flyers
173,56289,0,3,1,1,24051,15,0,0,1628,1,Ocassional Flyers
174,25090,0,4,1,1,25860,9,0,0,1786,1,Ocassional Flyers
175,12404,0,1,1,1,1950,7,1200,4,4701,0,Ocassional Flyers
176,31593,0,1,1,1,3128,12,0,0,5846,1,Ocassional Flyers
177,35895,0,3,1,1,15720,11,0,0,4649,1,Ocassional Flyers
178,423540,0,1,1,1,8534,14,2100,9,7375,0,Ocassional Flyers
179,12093,0,1,1,1,1605,4,0,0,1411,0,Ocassional Flyers
180,265532,0,1,1,1,4652,13,0,0,4849,0,Ocassional Flyers
181,12602,0,1,1,1,5632,5,500,1,158,0,Ocassional Flyers
182,48410,0,4,1,1,37869,16,500,1,6395,1,Ocassional Flyers
183,184301,0,1,1,1,6454,13,3954,12,4010,0,Ocassional Flyers
184,120622,0,4,1,1,25675,14,500,1,3040,0,Ocassional Flyers
185,290012,0,5,1,1,64360,18,650,2,5931,1,Ocassional Flyers
186,12526,0,4,1,1,56076,19,3850,11,7375,1,Ocassional Flyers
187,8063,0,1,1,1,18250,5,0,0,1950,1,Ocassional Flyers
188,83651,0,3,1,1,14809,18,1997,3,1914,0,Ocassional Flyers
189,20999,0,3,1,1,15914,13,0,0,6206,1,Ocassional Flyers
190,52060,0,1,1,1,6500,3,0,0,7162,1,Ocassional Flyers
191,26080,0,2,1,1,9872,13,0,0,8228,1,Ocassional Flyers
192,14662,0,1,1,1,1110,12,0,0,6197,0,Ocassional Flyers
193,128620,0,2,1,1,7747,12,0,0,3789,0,Ocassional Flyers
194,5320,0,1,1,1,2275,9,0,0,5084,0,Ocassional Flyers
195,4586,0,1,1,1,1000,1,0,0,249,0,Ocassional Flyers
196,38671,0,1,1,1,2200,9,1000,5,5192,0,Ocassional Flyers
197,240007,0,4,1,1,46771,14,0,0,4048,0,Ocassional Flyers
198,56461,0,4,1,1,40190,14,0,0,4359,1,Ocassional Flyers
199,30592,862,1,1,1,2602,7,0,0,6512,0,Ocassional Flyers
200,16504,0,1,1,1,500,4,0,0,1397,0,Ocassional Flyers
201,132910,0,5,1,1,75540,46,250,1,5856,1,Ocassional Flyers
202,79020,0,1,1,1,3422,10,0,0,2179,0,Ocassional Flyers
203,190295,0,4,1,1,3501,15,0,0,8296,0,Ocassional Flyers
204,276607,0,1,1,1,11430,14,6430,11,4791,1,Ocassional Flyers
205,89668,0,4,1,1,29130,14,0,0,6350,0,Ocassional Flyers
206,155587,0,1,1,1,6893,9,0,0,5279,0,Ocassional Flyers
207,18533,0,3,1,1,27904,14,0,0,2102,1,Ocassional Flyers
208,142175,0,4,1,1,37461,22,0,0,6732,1,Ocassional Flyers
209,44206,0,3,1,1,22598,14,500,1,2247,0,Ocassional Flyers
210,10940,0,1,1,1,0,0,0,0,3062,0,Ocassional Flyers
211,100069,0,3,1,1,18745,13,0,0,3454,0,Ocassional Flyers
212,5500,0,1,1,1,0,0,0,0,989,0,Ocassional Flyers
