,Alcohol,MalicAcid,Ash,Aclacinity of Ash,Magnesium,Total Phenols,Flavanoids,NonFlavanoids phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,PC1,PC2,clust
0,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,3.316750812214776,-1.4434626343180084,Rich Flavors
1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,2.209464916918843,0.3333928870802997,Rich Flavors
2,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,2.516740146610383,-1.0311512962743168,Rich Flavors
3,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,3.757065609773205,-2.756371913710709,Rich Flavors
4,13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,1.0089084937957156,-0.8698308214172025,Rich Flavors
5,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,3.050253922418078,-2.122401114634189,Rich Flavors
6,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,2.44908966959623,-1.174850131649473,Rich Flavors
7,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,2.059436871437914,-1.6089630683635054,Rich Flavors
8,14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,2.510874297398987,-0.9180709573337767,Rich Flavors
9,13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,2.7536281876339084,-0.7894376738336059,Rich Flavors
10,14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,3.4797366827312106,-1.3023332371235943,Rich Flavors
11,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280,1.7547529012945868,-0.6119772287456315,Rich Flavors
12,13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,2.113462340315095,-0.6757063391426185,Rich Flavors
13,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,3.45815681933672,-1.1306298761729365,Rich Flavors
14,14.38,1.87,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547,4.31278390676556,-2.0959755753412597,Rich Flavors
15,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,2.3051882008279723,-1.6625517299890538,Rich Flavors
16,14.3,1.92,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,2.171955273741513,-2.3273053361914173,Rich Flavors
17,13.83,1.57,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,1.8989711765627602,-1.6313688786428366,Rich Flavors
18,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,3.541985081943468,-2.5183436693066445,Rich Flavors
19,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,2.084522204730312,-1.0611379935838585,Rich Flavors
20,14.06,1.63,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780,3.124402535167198,-0.7868971056508945,Rich Flavors
